mission,disposition,disposition_score,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,orbital_period,transit_depth,transit_duration,impact_parameter,signal_to_noise,planet_radius_earth,planet_temp,planet_count_in_system,stellar_temperature,stellar_radius,stellar_mass,stellar_logg
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,32.62876672,1804.8,4.7971,0.021,80.0,3.36,506.0,2.0,5586.0,0.798,0.844,4.56
Kepler,CONFIRMED,0.978,0.0,0.0,0.0,0.0,91.7732862,652.0,6.473,0.606,19.1,2.12,359.0,2.0,5586.0,0.798,0.844,4.56
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,4.959319244,9802.0,2.22739,0.831,696.5,12.21,1103.0,1.0,5712.0,1.082,0.976,4.359
Kepler,FALSE POSITIVE,0.0,0.0,1.0,1.0,0.0,2.701287801,860.4,3.3827,1.016,48.3,6.54,1222.0,1.0,5550.0,0.91,0.889,4.468
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,4.49876511,460.0,3.7362,0.312,29.5,2.1,1133.0,1.0,6075.0,0.969,1.048,4.486
Kepler,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,19.651209505,11766.0,5.2514,0.723,513.4,12.42,730.0,1.0,6074.0,1.063,1.014,4.391
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,5.412203927,601.6,2.9472,0.787,166.7,2.94,1093.0,3.0,5779.0,1.087,0.941,4.339
Kepler,CONFIRMED,0.998,0.0,0.0,0.0,0.0,41.43958662,2793.1,10.5989,0.355,141.1,5.5,516.0,1.0,5468.0,1.046,0.93,4.367
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,8.35389523,1041.6,2.2514,0.023,43.4,2.52,790.0,1.0,5592.0,0.787,0.862,4.582
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,4.125543472,1487.3,3.1744,0.597,128.6,4.43,1243.0,1.0,6174.0,1.103,1.162,4.417
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,2.816504904,16814.0,2.50587,0.105,1406.8,12.21,1219.0,1.0,5532.0,0.955,0.941,4.452
